strategy_number,strategy_name,mean_accuracy_pct,median_accuracy_pct,min_accuracy_pct,max_accuracy_pct,std_accuracy_pct,mae_m,rmse_m,waypoints_analyzed,high_accuracy_90_plus,medium_accuracy_70_89,low_accuracy_below_70
2,Velocity-Based Adjustment,76.77000551383247,78.31719204003247,55.88488299941024,93.97943360544905,8.602174270289323,4.482528930326482,4.949097720620972,96,3,75,18
1,Multi-Zone Distance-Based Calibration,76.36515428403136,76.9572515633013,58.58678177819789,90.62671477683158,6.70863412579651,4.526986889876716,4.843421482062414,96,1,82,13
5,Combined Optimal (All Strategies),72.78356478905225,72.92856772680875,58.32526979962693,87.72755564370108,6.710891573570117,5.204980263388209,5.494276065072461,96,0,67,29
3,Statistical Outlier Detection,71.6189304117719,71.77181501008104,55.885459776438125,86.33606954318046,6.638689938518997,5.421542046649837,5.70278192299911,96,0,55,41
4,Adaptive Learning Calibration,69.18403064982571,69.95150299893592,46.033676276285206,85.83563519943093,8.036861207214029,5.8881344681682,6.25388236142756,96,0,47,49
