waypoint,step,actual_distance_m,simulated_distance_m,distance_error_m,distance_accuracy_pct,actual_path_loss_db,simulated_path_loss_db,path_loss_error_db,path_loss_accuracy_pct,actual_snr_db,simulated_snr_db,snr_error_db,snr_accuracy_pct,actual_prr_pct,simulated_prr_pct,prr_error_pct,prr_accuracy_pct,path_loss_model,calibration_enabled
3,105,22.375356066218483,13.275251073802952,-9.100104992415531,59.32978690714761,134.86243933504966,130.32789510502946,-4.534544230020202,96.63765222371912,-21.862439335049658,-17.327895105029455,4.534544230020202,24.424262832996618,0,0,0,100,fspl,True
1,114,23.06607609797377,12.89058267973574,-10.17549341823803,55.885459776438125,135.12651464260688,130.07249120811045,-5.054023434496429,96.25978406394651,-22.126514642606878,-17.07249120811045,5.054023434496429,15.766276091726183,0,0,0,100,fspl,True
2,125,22.375356066218483,13.1560422153386,-9.219313850879884,58.79701836432952,134.86243933504966,130.24954540053469,-4.612893934514972,96.57955620759996,-21.862439335049658,-17.249545400534686,4.612893934514972,23.11843442475046,0,0,0,100,fspl,True
7,133,20.52890803927758,13.48920947436321,-7.039698564914371,65.70836329216613,134.11435721818117,130.466770210741,-3.6475870074401655,97.28024121868908,-21.11435721818117,-17.466770210741004,3.6475870074401655,39.20688320933058,0,0,0,100,fspl,True
4,136,21.369210755975924,13.522412924908874,-7.84679783106705,63.27988936665485,134.46280988000427,130.48812410411608,-3.97468577588819,97.04402594335546,-21.462809880004272,-17.488124104116082,3.97468577588819,33.755237068530164,0,0,0,100,fspl,True
9,142,19.74966462565046,13.7018955811734,-6.047769044477061,69.3778645910658,133.77823473592431,130.60265330370186,-3.175581432222458,97.62623461246069,-20.778234735924315,-17.602653303701857,3.175581432222458,47.07364279629237,0,0,0,100,fspl,True
6,146,20.52890803927758,13.722303481657807,-6.8066045576197745,66.84380608750926,134.11435721818117,130.6155806314,-3.4987765867811618,97.39119907864207,-21.11435721818117,-17.615580631400007,3.4987765867811618,41.687056886980635,0,0,0,100,fspl,True
11,152,18.971223088084347,13.886171748163067,-5.0850513399212804,73.19597520776004,133.42894685407714,130.7186908814973,-2.71025597257983,97.96876462230954,-20.42894685407714,-17.71869088149731,2.71025597257983,54.8290671236695,0,0,0,100,fspl,True
8,156,19.74966462565046,13.895316660520026,-5.854347965130435,70.3572284588219,133.77823473592431,130.72440920019807,-3.053825535726247,97.7172478454702,-20.778234735924315,-17.724409200198068,3.053825535726247,49.10290773789588,0,0,0,100,fspl,True
12,163,18.304705222315,14.076137744677059,-4.228567477637942,76.89901352531503,133.11829502136453,130.8367103939185,-2.2815846274460228,98.28604728818091,-20.11829502136453,-17.83671039391851,2.2815846274460228,61.97358954256629,0,0,0,100,fspl,True
10,166,18.971223088084347,14.098615615536877,-4.87260747254747,74.31579687865296,133.42894685407714,130.85056963481503,-2.5783772192621086,98.06760281029429,-20.42894685407714,-17.85056963481503,2.5783772192621086,57.02704634563152,0,0,0,100,fspl,True
15,173,18.00501005259536,14.279098238968583,-3.7259118136267766,79.30624974524966,132.97490759651464,130.96105586315036,-2.0138517333642767,98.485540039272,-19.97490759651464,-17.961055863150364,2.0138517333642767,66.43580444392872,0,0,0,100,fspl,True
13,176,18.304705222315,14.307674245744549,-3.9970309765704517,78.1639150807098,133.11829502136453,130.97842110604086,-2.139873915323676,98.39250201110205,-20.11829502136453,-17.978421106040855,2.139873915323676,64.3354347446054,0,0,0,100,fspl,True
17,183,17.638939080054833,14.438919043423184,-3.200020036631649,81.858205745208,132.79648943885647,131.0577338606058,-1.7387555782506752,98.6906614884189,-19.79648943885647,-18.057733860605794,1.7387555782506752,71.02074036248875,0,0,0,100,fspl,True
14,187,18.00501005259536,14.445854422050433,-3.559155630544927,80.23241519916904,132.97490759651464,131.06190491180575,-1.9130026847088857,98.56138070009906,-19.97490759651464,-18.061904911805755,1.9130026847088857,68.11662192151857,0,0,0,100,fspl,True
19,193,17.749859877562898,14.515340436366888,-3.23451944119601,81.77721140613242,132.85093881205506,131.10358475359496,-1.747354058460104,98.6847258483193,-19.850938812055062,-18.10358475359496,1.747354058460104,70.87743235899826,0,0,0,100,fspl,True
16,197,17.638939080054833,14.540682346249515,-3.098256733805318,82.43512991487873,132.79648943885647,131.1187359730112,-1.6777534658452566,98.73659802835544,-19.79648943885647,-18.118735973011212,1.6777534658452566,72.0374422359124,0,0,0,100,fspl,True
20,203,17.74987130667995,14.591243936094028,-3.158627370585922,82.20478720092348,132.85094440488893,131.14888659374512,-1.702057811143817,98.71882144401137,-19.850944404888935,-18.148886593745118,1.702057811143817,71.63236981426972,0,0,0,100,fspl,True
18,207,17.749859877562898,14.628951183137286,-3.120908694425612,82.41727700413756,132.85093881205506,131.17130404625289,-1.6796347658021773,98.73569973925561,-19.850938812055062,-18.171304046252885,1.6796347658021773,72.00608723663038,0,0,0,100,fspl,True
23,213,18.082746803875832,14.62273672287551,-3.4600100810003216,80.86568308162836,133.01232825912314,131.1676134478177,-1.8447148113054368,98.6131249370271,-20.012328259123137,-18.1676134478177,1.8447148113054368,69.25475314490939,0,0,0,100,fspl,True
21,217,17.74987130667995,14.666454147720664,-3.0834171589592856,82.62850977517297,132.85094440488893,131.19354280934488,-1.6574015955440586,98.75243521755269,-19.850944404888935,-18.193542809344876,1.6574015955440586,72.3766400742657,0,0,0,100,fspl,True
25,223,18.37194720609589,14.635227415688423,-3.7367197904074665,79.66073084965318,133.15014400789323,131.17502973866783,-1.9751142692254007,98.51662626132172,-20.150144007893232,-18.17502973866783,1.9751142692254007,67.08142884624333,0,0,0,100,fspl,True
22,227,18.082746803875832,14.691435533346418,-3.391311270529414,81.24559666011291,133.01232825912314,131.20832490800933,-1.8040033511138063,98.64373222037028,-20.012328259123137,-18.20832490800933,1.8040033511138063,69.93327748143656,0,0,0,100,fspl,True
27,233,18.66673686646802,14.644426824433946,-4.022310042034075,78.45199152477716,133.28840834356902,131.18048779845725,-2.1079205451117673,98.4185267336389,-20.288408343569017,-18.18048779845725,2.1079205451117673,64.86799091480388,0,0,0,100,fspl,True
24,237,18.37194720609589,14.694389595685454,-3.6775576104104353,79.98275539791337,133.15014400789323,131.21007123702574,-1.9400727708674879,98.54294354292814,-20.150144007893232,-18.210071237025744,1.9400727708674879,67.6654538188752,0,0,0,100,fspl,True
29,243,19.03614661638192,14.613031481537705,-4.423115134844215,76.7646508299226,133.4586210543481,131.16184663111028,-2.296774423237821,98.27903629972131,-20.4586210543481,-18.16184663111028,2.296774423237821,61.72042627936965,0,0,0,100,fspl,True
26,247,18.66673686646802,14.67486445762217,-3.9918724088458504,78.61504966078647,133.28840834356902,131.19852220557513,-2.0898861379938865,98.43205709786336,-20.288408343569017,-18.19852220557513,2.0898861379938865,65.16856436676856,0,0,0,100,fspl,True
31,253,19.47940418739101,14.612232960615813,-4.8671712267751985,75.01375719732891,133.65855361420245,131.1613719825666,-2.49718163163584,98.13167091509624,-20.658553614202447,-18.161371982566607,2.49718163163584,58.38030613940266,0,0,0,100,fspl,True
28,257,19.03614661638192,14.674060004697562,-4.362086611684358,77.08524367042602,133.4586210543481,131.19804604575313,-2.2605750085949694,98.30616037335318,-20.4586210543481,-18.19804604575313,2.2605750085949694,62.32374985675051,0,0,0,100,fspl,True
33,263,19.78010086481037,14.56850914644524,-5.211591718365131,73.65235013721912,133.79161027019842,131.13534245204488,-2.6562678181535375,98.0146230299575,-20.79161027019842,-18.13534245204488,2.6562678181535375,55.72886969744104,0,0,0,100,fspl,True
30,267,19.47940418739101,14.586625287894915,-4.892778899496097,74.88229695103722,133.65855361420245,131.1461367651979,-2.512416849004552,98.12027230501349,-20.658553614202447,-18.146136765197895,2.512416849004552,58.126385849924134,0,0,0,100,fspl,True
34,273,19.81208905910582,14.464673941576454,-5.347415117529366,73.00933232443933,133.80564566386377,131.0732131999614,-2.73243246390237,97.9579094362232,-20.80564566386377,-18.0732131999614,2.73243246390237,54.459458934960495,0,0,0,100,fspl,True
32,277,19.78010086481037,14.377243786194967,-5.402857078615405,72.68539166942614,133.79161027019842,131.02055297022466,-2.771057299973762,97.92882581024514,-20.79161027019842,-18.020552970224657,2.771057299973762,53.81571166710397,0,0,0,100,fspl,True
37,283,19.19371014468592,14.264836558292245,-4.928873586393674,74.32037084420435,133.53021887254698,130.95237623326778,-2.577842639279197,98.06946872322608,-20.530218872546982,-17.952376233267785,2.577842639279197,57.035956012013386,0,0,0,100,fspl,True
35,287,19.81208905910582,14.114948244537738,-5.6971408145680815,71.24411869151365,133.80564566386377,130.86062603389678,-2.9450196299669926,97.79903186046033,-20.80564566386377,-17.86062603389678,2.9450196299669926,50.91633950055012,0,0,0,100,fspl,True
