waypoint,actual_distance,simulated_distance,calibrated_distance,error,error_percentage,accuracy,source_speed_kmh,dest_speed_kmh
0,23.06607609797377,57.33573873517536,34.80279341225145,11.736717314277676,50.883025203010945,49.116974796989055,37.7808,39.818000000000005
1,23.06607609797377,2.424351964691887,1.4715816425679753,-21.594494455405794,-93.6201474567352,6.379852543264803,39.818000000000005,37.7808
2,22.375356066218483,2.424351964691887,1.4715816425679753,-20.903774423650507,-93.42320346450389,6.576796535496115,40.744,38.1512
3,22.375356066218483,2.424351964691887,1.4715816425679753,-20.903774423650507,-93.42320346450389,6.576796535496115,38.1512,40.744
4,21.369210755975924,2.424351964691887,1.4715816425679753,-19.897629113407948,-93.11354237939533,6.8864576206046735,41.67,38.7068
5,21.369210755975924,2.424351964691887,1.4715816425679753,-19.897629113407948,-93.11354237939533,6.8864576206046735,38.7068,41.67
6,20.52890803927758,2.424351964691887,1.4715816425679753,-19.057326396709605,-92.83166138329216,7.1683386167078424,42.596,39.2624
7,20.52890803927758,2.424351964691887,1.4715816425679753,-19.057326396709605,-92.83166138329216,7.1683386167078424,39.2624,42.596
8,19.74966462565046,2.424351964691887,1.4715816425679753,-18.278082983082484,-92.54882718030201,7.451172819697987,42.596,39.818000000000005
9,19.74966462565046,2.424351964691887,1.4715816425679753,-18.278082983082484,-92.54882718030201,7.451172819697987,39.818000000000005,42.596
10,18.971223088084347,2.424351964691887,1.4715816425679753,-17.49964144551637,-92.24308503602879,7.756914963971212,42.2256,39.818000000000005
11,18.971223088084347,2.424351964691887,1.4715816425679753,-17.49964144551637,-92.24308503602879,7.756914963971212,39.818000000000005,42.2256
12,18.304705222315,2.424351964691887,1.4715816425679753,-16.833123579747024,-91.9606373077563,8.0393626922437,39.818000000000005,41.4848
13,18.304705222315,2.424351964691887,1.4715816425679753,-16.833123579747024,-91.9606373077563,8.0393626922437,41.4848,39.818000000000005
14,18.00501005259536,2.424351964691887,1.4715816425679753,-16.533428410027383,-91.82682132212499,8.173178677875015,40.3736,39.4476
15,18.00501005259536,2.424351964691887,1.4715816425679753,-16.533428410027383,-91.82682132212499,8.173178677875015,39.4476,40.3736
16,17.638939080054833,2.424351964691887,1.4715816425679753,-16.167357437486856,-91.65719867907497,8.342801320925034,40.00320000000001,39.4476
17,17.638939080054833,2.424351964691887,1.4715816425679753,-16.167357437486856,-91.65719867907497,8.342801320925034,39.4476,40.00320000000001
18,17.749859877562898,2.424351964691887,1.4715816425679753,-16.27827823499492,-91.70933374844181,8.290666251558193,39.2624,39.4476
19,17.749859877562898,2.424351964691887,1.4715816425679753,-16.27827823499492,-91.70933374844181,8.290666251558193,39.4476,39.2624
20,17.74987130667995,2.424351964691887,1.4715816425679753,-16.278289664111973,-91.70933908679008,8.29066091320992,39.2624,38.7068
21,17.74987130667995,2.424351964691887,1.4715816425679753,-16.278289664111973,-91.70933908679008,8.29066091320992,38.7068,39.2624
22,18.082746803875832,2.424351964691887,1.4715816425679753,-16.611165161307856,-91.86195737556554,8.138042624434462,38.52160000000001,39.4476
23,18.082746803875832,2.424351964691887,1.4715816425679753,-16.611165161307856,-91.86195737556554,8.138042624434462,39.4476,38.52160000000001
24,18.37194720609589,2.424351964691887,1.4715816425679753,-16.900365563527913,-91.99006166270878,8.009938337291217,37.966,39.2624
25,18.37194720609589,2.424351964691887,1.4715816425679753,-16.900365563527913,-91.99006166270878,8.009938337291217,39.2624,37.966
26,18.66673686646802,2.424351964691887,1.4715816425679753,-17.195155223900045,-92.11655656210887,7.883443437891131,37.966,39.2624
27,18.66673686646802,2.424351964691887,1.4715816425679753,-17.195155223900045,-92.11655656210887,7.883443437891131,39.2624,37.966
28,19.03614661638192,2.424351964691887,1.4715816425679753,-17.564564973813944,-92.26954030023293,7.730459699767067,37.4104,39.2624
29,19.03614661638192,2.424351964691887,1.4715816425679753,-17.564564973813944,-92.26954030023293,7.730459699767067,39.2624,37.4104
