waypoint,step,actual_distance_m,simulated_distance_m,distance_error_m,distance_error_pct,distance_accuracy_pct,actual_speed_src_kmh,simulated_speed_src_kmh,speed_error_src_kmh,actual_speed_dst_kmh,simulated_speed_dst_kmh,speed_error_dst_kmh,calibration_enabled,realistic_speed_enabled
3,105,22.375356066218483,13.275251073802952,-9.100104992415531,-40.67021309285239,59.32978690714761,38.1512,37.7808,-0.3704000000000036,40.744,39.818000000000005,-0.9259999999999948,True,True
1,114,23.06607609797377,12.89058267973574,-10.17549341823803,-44.114540223561875,55.885459776438125,39.818000000000005,38.1512,-1.666800000000002,37.7808,40.744,2.9632000000000005,True,True
2,125,22.375356066218483,13.1560422153386,-9.219313850879884,-41.20298163567048,58.79701836432952,40.744,39.818000000000005,-0.9259999999999948,38.1512,37.7808,-0.3704000000000036,True,True
7,133,20.52890803927758,13.48920947436321,-7.039698564914371,-34.29163670783388,65.70836329216613,39.2624,40.744,1.4816000000000003,42.596,38.1512,-4.444799999999994,True,True
4,136,21.369210755975924,13.522412924908874,-7.84679783106705,-36.72011063334515,63.27988936665485,41.67,39.2624,-2.407600000000002,38.7068,40.0232,1.3164000000000016,True,True
9,142,19.74966462565046,13.7018955811734,-6.047769044477061,-30.6221354089342,69.3778645910658,39.818000000000005,41.67,1.8519999999999968,42.596,38.7068,-3.8891999999999953,True,True
6,146,20.52890803927758,13.722303481657807,-6.8066045576197745,-33.156193912490735,66.84380608750926,42.596,39.818000000000005,-2.7779999999999916,39.2624,41.5148,2.2524000000000015,True,True
11,152,18.971223088084347,13.886171748163067,-5.0850513399212804,-26.80402479223996,73.19597520776004,39.818000000000005,42.596,2.7779999999999916,42.2256,39.2624,-2.9632000000000005,True,True
8,156,19.74966462565046,13.895316660520026,-5.854347965130435,-29.64277154117811,70.3572284588219,42.596,39.818000000000005,-2.7779999999999916,39.818000000000005,42.0704,2.2523999999999944,True,True
12,163,18.304705222315,14.076137744677059,-4.228567477637942,-23.10098647468497,76.89901352531503,39.818000000000005,42.596,2.7779999999999916,41.4848,39.818000000000005,-1.666799999999995,True,True
10,166,18.971223088084347,14.098615615536877,-4.87260747254747,-25.68420312134704,74.31579687865296,42.2256,39.818000000000005,-2.407599999999995,39.818000000000005,41.4848,1.666799999999995,True,True
15,173,18.00501005259536,14.279098238968583,-3.7259118136267766,-20.69375025475034,79.30624974524966,39.4476,42.2256,2.7779999999999987,40.3736,39.818000000000005,-0.5555999999999983,True,True
13,176,18.304705222315,14.307674245744549,-3.9970309765704517,-21.8360849192902,78.1639150807098,41.4848,39.4476,-2.0371999999999986,39.818000000000005,40.3736,0.5555999999999983,True,True
17,183,17.638939080054833,14.438919043423184,-3.200020036631649,-18.141794254792003,81.858205745208,39.4476,41.4848,2.0371999999999986,40.00320000000001,39.818000000000005,-0.1852000000000018,True,True
14,187,18.00501005259536,14.445854422050433,-3.559155630544927,-19.76758480083096,80.23241519916904,40.3736,39.4476,-0.9260000000000019,39.4476,40.00320000000001,0.5556000000000054,True,True
19,193,17.749859877562898,14.515340436366888,-3.23451944119601,-18.22278859386758,81.77721140613242,39.4476,40.3736,0.9260000000000019,39.2624,39.4476,0.1852000000000018,True,True
16,197,17.638939080054833,14.540682346249515,-3.098256733805318,-17.564870085121278,82.43512991487873,40.00320000000001,39.4476,-0.5556000000000054,39.4476,39.2624,-0.1852000000000018,True,True
20,203,17.74987130667995,14.591243936094028,-3.158627370585922,-17.795212799076527,82.20478720092348,39.2624,40.00320000000001,0.7408000000000072,38.7068,39.4476,0.7408000000000001,True,True
18,207,17.749859877562898,14.628951183137286,-3.120908694425612,-17.582722995862436,82.41727700413756,39.2624,39.2624,0.0,39.4476,38.7068,-0.7408000000000001,True,True
23,213,18.082746803875832,14.62273672287551,-3.4600100810003216,-19.134316918371645,80.86568308162836,39.4476,39.2624,-0.1852000000000018,38.52160000000001,39.4476,0.9259999999999948,True,True
21,217,17.74987130667995,14.666454147720664,-3.0834171589592856,-17.37149022482703,82.62850977517297,38.7068,39.4476,0.7408000000000001,39.2624,38.52160000000001,-0.740799999999993,True,True
25,223,18.37194720609589,14.635227415688423,-3.7367197904074665,-20.339269150346826,79.66073084965318,39.2624,38.7068,-0.5555999999999983,37.966,39.2624,1.2963999999999984,True,True
22,227,18.082746803875832,14.691435533346418,-3.391311270529414,-18.754403339887084,81.24559666011291,38.52160000000001,39.2624,0.740799999999993,39.4476,37.966,-1.4816000000000003,True,True
27,233,18.66673686646802,14.644426824433946,-4.022310042034075,-21.548008475222836,78.45199152477716,39.2624,38.52160000000001,-0.740799999999993,37.966,39.4476,1.4816000000000003,True,True
24,237,18.37194720609589,14.694389595685454,-3.6775576104104353,-20.01724460208663,79.98275539791337,37.966,39.2624,1.2963999999999984,39.2624,37.966,-1.2963999999999984,True,True
29,243,19.03614661638192,14.613031481537705,-4.423115134844215,-23.235349170077406,76.7646508299226,39.2624,37.966,-1.2963999999999984,37.4104,39.2624,1.8519999999999968,True,True
26,247,18.66673686646802,14.67486445762217,-3.9918724088458504,-21.384950339213532,78.61504966078647,37.966,39.2624,1.2963999999999984,39.2624,37.4104,-1.8519999999999968,True,True
