waypoint,step,actual_distance_m,simulated_distance_m,calibrated_distance_m,calibration_factor,calibration_meta,distance_error_m,distance_error_pct,distance_accuracy_pct,avg_velocity_kmh
3,105,22.375356066218483,21.87026536046615,13.275251073802952,0.607,outlier_detect,-9.100104992415531,-40.67021309285239,59.32978690714761,39.4476
1,114,23.06607609797377,21.236544777159374,12.89058267973574,0.607,outlier_detect,-10.17549341823803,-44.114540223561875,55.885459776438125,38.799400000000006
2,125,22.375356066218483,21.673875148828007,13.1560422153386,0.607,outlier_detect,-9.219313850879884,-41.20298163567048,58.79701836432952,39.4476
7,133,20.52890803927758,22.22275036962638,13.48920947436321,0.607,outlier_detect,-7.039698564914371,-34.29163670783388,65.70836329216613,40.929199999999994
4,136,21.369210755975924,22.27745127662088,13.522412924908874,0.607,outlier_detect,-7.84679783106705,-36.72011063334515,63.27988936665485,40.1884
9,142,19.74966462565046,22.57313934295453,13.275251073802952,0.588099460695811,outlier_detect,-6.474413551847508,-32.78239744607446,67.21760255392553,41.207
6,146,20.52890803927758,22.60676026632258,13.275251073802952,0.5872248352887242,outlier_detect,-7.2536569654746295,-35.33386652420256,64.66613347579744,40.929199999999994
11,152,18.971223088084347,22.876724461553653,13.27525107380295,0.5802950984575251,outlier_detect,-5.695972014281397,-30.02427406938768,69.97572593061233,41.0218
8,156,19.74966462565046,22.891790215024756,13.275251073802952,0.5799131893620927,outlier_detect,-6.474413551847508,-32.78239744607446,67.21760255392553,41.207
12,163,18.304705222315,23.18968326964919,13.275251073802954,0.572463664959913,outlier_detect,-5.0294541485120465,-27.476291409384253,72.52370859061574,40.6514
10,166,18.971223088084347,23.22671435838036,13.275251073802952,0.5715509679488158,outlier_detect,-5.695972014281395,-30.02427406938767,69.97572593061233,41.0218
15,173,18.00501005259536,23.524049817081686,13.275251073802952,0.5643267709866564,outlier_detect,-4.7297589787924075,-26.26912712059624,73.73087287940376,39.9106
13,176,18.304705222315,23.571127258228252,13.275251073802954,0.563199669170205,outlier_detect,-5.0294541485120465,-27.476291409384253,72.52370859061574,40.6514
17,183,17.638939080054833,23.78734603529355,13.275251073802952,0.5580803782862668,outlier_detect,-4.363688006251881,-24.73894822385381,75.26105177614619,39.72540000000001
14,187,18.00501005259536,23.79877170024783,13.275251073802952,0.557812446835847,outlier_detect,-4.7297589787924075,-26.26912712059624,73.73087287940376,39.9106
19,193,17.749859877562898,23.913246188413325,13.275251073802952,0.5551421571628867,outlier_detect,-4.474608803759946,-25.209262690665934,74.79073730933406,39.355000000000004
16,197,17.638939080054833,23.954995628088163,13.275251073802954,0.5541746398082079,outlier_detect,-4.363688006251879,-24.7389482238538,75.2610517761462,39.72540000000001
20,203,17.74987130667995,24.038293140187854,13.275251073802952,0.5522543134150002,outlier_detect,-4.4746202328769975,-25.209310848316,74.790689151684,38.9846
18,207,17.749859877562898,24.10041381076983,13.275251073802954,0.5508308354386263,outlier_detect,-4.474608803759944,-25.209262690665923,74.79073730933408,39.355000000000004
23,213,18.082746803875832,24.090175820223248,13.27525107380295,0.5510649309026059,outlier_detect,-4.807495730072882,-26.58609215853451,73.41390784146549,38.9846
21,217,17.74987130667995,24.162197936936845,13.275251073802952,0.5494223293945053,outlier_detect,-4.4746202328769975,-25.209310848316,74.790689151684,38.9846
25,223,18.37194720609589,24.11075356785572,13.275251073802952,0.5505946148237116,outlier_detect,-5.096696132292937,-27.741730776375363,72.25826922362464,38.6142
22,227,18.082746803875832,24.203353432201677,13.275251073802952,0.54848808909846,outlier_detect,-4.80749573007288,-26.5860921585345,73.4139078414655,38.9846
27,233,18.66673686646802,24.12590910120914,13.27525107380295,0.5502487395651185,outlier_detect,-5.391485792665071,-28.882850983719937,71.11714901628007,38.6142
24,237,18.37194720609589,24.208220091738806,13.275251073802954,0.5483778247015033,outlier_detect,-5.096696132292935,-27.741730776375356,72.25826922362464,38.6142
29,243,19.03614661638192,24.07418695475734,13.275251073802954,0.5514309205436991,outlier_detect,-5.760895542578966,-30.262929040593317,69.73707095940668,38.3364
26,247,18.66673686646802,24.17605347219468,13.275251073802952,0.549107450025748,outlier_detect,-5.391485792665069,-28.882850983719926,71.11714901628008,38.6142
31,253,19.47940418739101,24.07287143429294,13.275251073802952,0.5514610548242173,outlier_detect,-6.20415311358806,-31.849809439264053,68.15019056073595,38.3364
28,257,19.03614661638192,24.174728179073416,13.275251073802954,0.5491375528803061,outlier_detect,-5.760895542578966,-30.262929040593317,69.73707095940668,38.3364
33,263,19.78010086481037,24.00083879150781,13.275251073802952,0.5531161301954213,outlier_detect,-6.50484979100742,-32.88582720313535,67.11417279686465,37.96600000000001
30,267,19.47940418739101,24.030684164571525,13.275251073802954,0.5524291769176791,outlier_detect,-6.204153113588058,-31.849809439264043,68.15019056073595,38.3364
34,273,19.81208905910582,23.82977585103205,13.275251073802952,0.5570866950990649,outlier_detect,-6.536837985302867,-32.99418837559927,67.00581162440074,37.7808
32,277,19.78010086481037,23.685739351227294,13.27525107380295,0.5604744220540907,outlier_detect,-6.5048497910074214,-32.88582720313536,67.11417279686464,37.96600000000001
