lat,lon
52.494875,13.304918333333331
52.50987666666666,13.360006666666669
52.51278666666666,13.286895
52.504485,13.340748333333334
52.508905,13.284905
52.51417333333333,13.349145
52.513865,13.341838333333332
52.51198166666666,13.375723333333331
52.514651666666666,13.353301666666669
52.49556166666667,13.304961666666667
52.510815,13.296508333333334
52.502475,13.3336
52.51523666666667,13.362758333333334
52.503863333333335,13.33782
52.499631666666666,13.316806666666666
52.50085,13.332055
52.495713333333335,13.305095
52.511473333333335,13.373591666666666
52.51202166666667,13.32192
52.498935,13.307695
52.51392,13.35055
52.48994166666667,13.297706666666668
52.510005,13.35856
52.503683333333335,13.334746666666666
52.493365,13.291976666666669
52.509925,13.356883333333334
52.50723666666666,13.347743333333334
52.49662,13.305081666666666
52.50603,13.342958333333334
52.51405833333333,13.34419
52.51238333333333,13.32297
52.511785,13.308711666666667
52.49693666666667,13.305635
52.502775,13.334026666666666
52.51213333333333,13.322511666666667
52.50009833333333,13.32562
52.50368,13.339503333333331
52.51085833333333,13.2954
52.504335,13.336135
52.50990166666666,13.363546666666666
52.49236666666667,13.293695
52.49957,13.317393333333332
52.51223333333333,13.316788333333331
52.51331666666667,13.334291666666669
52.51054,13.289098333333332
52.511135,13.299613333333332
52.50231166666666,13.33348
52.510891666666666,13.369426666666667
52.51089833333333,13.28906
52.51421333333333,13.347308333333334
