waypoint,step,actual_distance_m,simulated_distance_m,distance_error_m,distance_error_pct,distance_accuracy_pct,actual_path_loss_db,simulated_path_loss_db,path_loss_error_db,path_loss_error_pct,path_loss_accuracy_pct,path_loss_model,actual_snr_db,simulated_snr_db,snr_error_db,snr_error_pct,snr_accuracy_pct,actual_rsrp_dbm,simulated_rsrp_dbm,actual_rssi_dbm,simulated_rssi_dbm,actual_prr_pct,simulated_prr_pct,prr_error_pct,prr_accuracy_pct,actual_speed_src_kmh,simulated_speed_src_kmh,actual_speed_dst_kmh,simulated_speed_dst_kmh,calibration_enabled,realistic_speed_enabled,dataset_snr_db,dataset_snr_vs_calculated,dataset_rsrp_dbm,rsrp_error_dbm,rsrp_accuracy_pct,dataset_rssi_dbm,rssi_error_dbm,rssi_accuracy_pct,dataset_noise_power,dataset_rx_power_dbm
3,105,22.375356066218483,13.275251073802952,-9.100104992415531,-40.67021309285239,59.32978690714761,90.51401346276023,82.01174303147232,-8.502270431287911,-9.39331944968495,90.60668055031505,3GPP,22.485986537239768,30.98825696852768,8.502270431287911,37.81141831249889,62.18858168750111,-70.51401346276023,-62.01174303147232,-70.46540042744739,-62.00484676942394,99.98404499403554,99.99977263651643,0.015727642480882764,99.9842698477724,38.1512,37.7808,40.744,39.818000000000005,True,True,17.67434,-4.811646537239767,-69.82063600000001,7.808892968527687,88.81578081224055,-41.992336,-20.01251076942394,52.3424684699038,0.00110282706,0.1092516372
1,114,23.06607609797377,12.89058267973574,-10.17549341823803,-44.114540223561875,55.885459776438125,91.00915466442999,81.53286072474918,-9.4762939396808,-10.412462322743139,89.58753767725686,3GPP,21.990845335570015,31.467139275250815,9.4762939396808,43.0919948509345,56.9080051490655,-71.00915466442999,-61.532860724749185,-70.95470758616032,-61.52668395363282,99.9795639925458,99.99982104948468,0.02025705693887403,99.9797388024813,39.818000000000005,38.1512,37.7808,40.744,True,True,15.81210268292683,-6.1787426526431855,-73.88647560975609,12.353614885006905,83.28027587855914,-46.08780243902439,-15.438881514608433,66.50115497471471,0.0005859040975609,0.0387040048780487
2,125,22.375356066218483,13.1560422153386,-9.219313850879884,-41.20298163567048,58.79701836432952,90.51401346276023,81.86483733554464,-8.649176127215597,-9.555621053942204,90.4443789460578,3GPP,22.485986537239768,31.135162664455365,8.649176127215597,38.46473941844365,61.53526058155635,-70.51401346276023,-61.864837335544635,-70.46540042744739,-61.8581702711629,99.98404499403554,99.999788738374,0.015743744338450938,99.98425374334536,40.744,39.818000000000005,38.1512,37.7808,True,True,15.832974,-6.653012537239768,-72.76867777777777,10.903840442233133,85.01575021669149,-44.97069333333333,-16.887476937829568,62.44781726477814,0.0018179641777777,0.058573202
7,133,20.52890803927758,13.48920947436321,-7.039698564914371,-34.29163670783388,65.70836329216613,89.11135949363177,82.27213385468148,-6.839225638950282,-7.67492009752027,92.32507990247973,3GPP,23.888640506368233,30.727866145318515,6.839225638950282,28.629614301940208,71.37038569805979,-69.11135949363177,-62.272133854681485,-69.07610969999266,-62.26481182400967,99.99208684885618,99.99974102149098,0.007654172634801171,99.99234522163101,39.2624,40.744,42.596,38.1512,True,True,16.30460081632653,-7.584039690041703,-71.65092448979593,9.378790635114441,86.91044016263864,-43.83470408163266,-18.43010774237701,57.95544163351731,0.0009075779591836,0.0559359634693877
4,136,21.369210755975924,13.522412924908874,-7.84679783106705,-36.72011063334515,63.27988936665485,89.76470823455008,82.31217240475978,-7.452535829790307,-8.302300510259839,91.69769948974016,3GPP,23.235291765449915,30.687827595240222,7.452535829790307,32.07420808406621,67.92579191593379,-69.76470823455008,-62.31217240475978,-69.72376272774997,-62.304782616240324,99.98902993855329,99.99973578469917,0.010705846145881992,99.98929297928737,41.67,39.2624,38.7068,40.0232,True,True,15.497349795918367,-7.737941969531548,-72.02580612244897,9.713633717689191,86.51367580506447,-44.209326530612245,-18.09545608562808,59.06869091729302,0.0027308141632653,0.0554470910204081
9,142,19.74966462565046,13.7018955811734,-6.047769044477061,-30.6221354089342,69.3778645910658,88.4811298394002,82.52691465398304,-5.954215185417155,-6.7293616121589945,93.270638387841,3GPP,24.518870160599803,30.47308534601696,5.954215185417155,24.284215163328298,75.7157848366717,-68.4811298394002,-62.52691465398304,-68.45062483078192,-62.51915061840058,99.99422560990774,99.99970583667822,0.005480226770472996,99.99451945676158,39.818000000000005,41.67,42.596,38.7068,True,True,17.17154,-7.347330160599803,-70.169792,7.6428773460169595,89.10802336991827,-42.362732,-20.15641861840058,52.41945534013109,0.00110163278,0.0916104034
6,146,20.52890803927758,13.722303481657807,-6.8066045576197745,-33.156193912490735,66.84380608750926,89.11135949363177,82.55115339341714,-6.560206100214629,-7.3618067746833615,92.63819322531664,3GPP,23.888640506368233,30.448846606582862,6.560206100214629,27.461613390957968,72.53838660904204,-69.11135949363177,-62.55115339341714,-69.07610969999266,-62.54334594327288,99.99208684885618,99.9997022499241,0.007615401067923244,99.99238399626618,42.596,39.818000000000005,39.2624,41.5148,True,True,15.236907142857143,-8.65173336351109,-74.64773265306123,12.096579259644088,83.79511496234572,-46.87394693877552,-15.669399004497365,66.57119780213094,0.0008398953265306,0.0278078893877551
11,152,18.971223088084347,13.886171748163067,-5.0850513399212804,-26.80402479223996,73.19597520776004,87.82621506093673,82.74448511234955,-5.081729948587181,-5.786119719563582,94.21388028043641,3GPP,25.173784939063268,30.25551488765045,5.081729948587181,20.186594748816013,79.81340525118398,-67.82621506093673,-62.74448511234955,-67.79996726948045,-62.73632258532292,99.99583801811805,99.99967203069541,0.003834012577357271,99.99616582784509,39.818000000000005,42.596,42.2256,39.2624,True,True,15.87385632653061,-9.299928612532657,-70.05970612244899,7.315221010099435,89.55859021544562,-42.25259387755102,-20.483728707771895,51.52077818669735,0.0021665356734693,0.0978196863265306
8,156,19.74966462565046,13.895316660520026,-5.854347965130435,-29.64277154117811,70.3572284588219,88.4811298394002,82.7552069599135,-5.725922879486703,-6.4713491903637275,93.52865080963628,3GPP,24.518870160599803,30.244793040086506,5.725922879486703,23.353126967032438,76.64687303296756,-68.4811298394002,-62.755206959913494,-68.45062483078192,-62.74702427536767,99.99422560990774,99.9996702677615,0.005444657853757917,99.9945550277323,42.596,39.818000000000005,39.818000000000005,42.0704,True,True,15.99989081632653,-8.518979344273273,-74.07797142857143,11.322764468657937,84.7150721728716,-46.30920408163265,-16.43782019373502,64.50420489896811,0.0005311313265306,0.0305869667346938
12,163,18.304705222315,14.076137744677059,-4.228567477637942,-23.10098647468497,76.89901352531503,87.24374287460063,82.96577169813928,-4.2779711764613495,-4.903470478805879,95.09652952119413,3GPP,25.756257125399372,30.034228301860722,4.2779711764613495,16.609444282347432,83.39055571765257,-67.24374287460063,-62.96577169813928,-67.22078085981971,-62.957182908402494,99.99688955501689,99.9996336596096,0.0027441045927076857,99.99725581005077,39.818000000000005,42.596,41.4848,39.818000000000005,True,True,14.195590869565216,-11.560666255834157,-70.27059565217391,7.304823954034632,89.60472173853182,-42.51164565217391,-20.445537256228583,51.90603200000313,0.0045254744130434,0.0746972780434782
10,166,18.971223088084347,14.098615615536877,-4.87260747254747,-25.68420312134704,74.31579687865296,87.82621506093673,82.99175777482027,-4.834457286116461,-5.504572049202114,94.49542795079789,3GPP,25.173784939063268,30.00824222517973,4.834457286116461,19.204332196445442,80.79566780355455,-67.82621506093673,-62.99175777482027,-67.79996726948045,-62.983117491112566,99.99583801811805,99.99962886869567,0.0037908505776158563,99.9962089916413,42.2256,39.818000000000005,39.818000000000005,41.4848,True,True,16.005374489795916,-9.168410449267352,-73.22452448979591,10.23276671497564,86.02549243402515,-45.44686530612245,-17.53625218499012,61.413725530091305,0.0006839430816326,0.0404771169387755
15,173,18.00501005259536,14.279098238968583,-3.7259118136267766,-20.69375025475034,79.30624974524966,86.97489145300702,83.19891945294901,-3.7759720000580046,-4.341450661192468,95.65854933880753,3GPP,26.025108546992982,29.801080547050987,3.7759720000580046,14.508957736870965,85.49104226312903,-66.97489145300702,-63.19891945294901,-66.95330438517831,-63.18985747337709,99.99728078292465,99.99958836528003,0.002307582355385307,99.99769235489474,39.4476,42.2256,40.3736,39.818000000000005,True,True,16.618782765957448,-9.406325781035534,-70.78742127659575,7.588501823646737,89.27987248752102,-43.00861702127659,-20.181240452100496,53.076285986790204,0.0012211111914893,0.0671631468085106
