waypoint,step,actual_distance_m,simulated_distance_m,calibrated_distance_m,calibration_factor,calibration_meta,distance_error_m,distance_error_pct,distance_accuracy_pct,avg_velocity_kmh
3,105,22.375356066218483,21.87026536046615,13.526759125448315,0.6185,combined,-8.848596940770168,-39.54617264897726,60.45382735102274,39.4476
1,114,23.06607609797377,21.236544777159374,13.453351116330461,0.6335,combined,-9.612724981643309,-41.67473020037307,58.32526979962693,38.799400000000006
2,125,22.375356066218483,21.673875148828007,13.405291779550122,0.6185,combined,-8.97006428666836,-40.0890348297565,59.9109651702435,39.4476
7,133,20.52890803927758,22.22275036962638,13.48920947436321,0.607,combined,-7.039698564914371,-34.29163670783388,65.70836329216613,40.929199999999994
4,136,21.369210755975924,22.27745127662088,13.778603614590015,0.6185,combined,-7.5906071413859095,-35.52123299295547,64.47876700704452,40.1884
9,142,19.74966462565046,22.57313934295453,13.48920947436321,0.5975779119342312,combined,-6.26045515128725,-31.6990453759721,68.3009546240279,41.207
6,146,20.52890803927758,22.60676026632258,13.489209474363212,0.596689190111781,combined,-7.039698564914369,-34.29163670783387,65.70836329216613,40.929199999999994
11,152,18.971223088084347,22.876724461553653,13.48920947436321,0.5896477660966286,combined,-5.482013613721136,-28.896469079868336,71.10353092013166,41.0218
8,156,19.74966462565046,22.891790215024756,13.489209474363212,0.5892597017383869,combined,-6.260455151287248,-31.69904537597209,68.30095462402791,41.207
12,163,18.304705222315,23.18968326964919,13.48920947436321,0.5816901126898087,combined,-4.81549574795179,-26.3074203570418,73.69257964295821,40.6514
10,166,18.971223088084347,23.22671435838036,13.48920947436321,0.5807627056599252,combined,-5.482013613721136,-28.896469079868336,71.10353092013166,41.0218
15,173,18.00501005259536,23.524049817081686,13.489209474363209,0.57342207567373,combined,-4.515800578232151,-25.080800094200523,74.91919990579947,39.9106
13,176,18.304705222315,23.571127258228252,13.48920947436321,0.5722768082572026,combined,-4.81549574795179,-26.3074203570418,73.69257964295821,40.6514
17,183,17.638939080054833,23.78734603529355,13.489209474363212,0.5670750093074327,combined,-4.14972960569162,-23.525959168280774,76.47404083171922,39.72540000000001
14,187,18.00501005259536,23.79877170024783,13.48920947436321,0.5668027595820309,combined,-4.515800578232149,-25.080800094200512,74.91919990579949,39.9106
19,193,17.749859877562898,23.913246188413325,13.489209474363209,0.5640894326132573,combined,-4.260650403199689,-24.003853735124174,75.99614626487582,39.355000000000004
16,197,17.638939080054833,23.954995628088163,13.489209474363212,0.5631063216954458,combined,-4.14972960569162,-23.525959168280774,76.47404083171922,39.72540000000001
20,203,17.74987130667995,24.038293140187854,13.489209474363209,0.5611550452312104,combined,-4.260661832316741,-24.003902668935364,75.99609733106463,38.9846
18,207,17.749859877562898,24.10041381076983,13.489209474363212,0.5597086249338692,combined,-4.260650403199685,-24.003853735124153,75.99614626487585,39.355000000000004
23,213,18.082746803875832,24.090175820223248,13.48920947436321,0.5599464933352323,combined,-4.593537329512621,-25.402873685805567,74.59712631419444,38.9846
21,217,17.74987130667995,24.162197936936845,13.489209474363212,0.5582774178727427,combined,-4.260661832316737,-24.003902668935343,75.99609733106466,38.9846
25,223,18.37194720609589,24.11075356785572,13.48920947436321,0.5594685971303247,combined,-4.8827377317326786,-26.577137833884944,73.42286216611505,38.6142
22,227,18.082746803875832,24.203353432201677,13.489209474363209,0.557328120342874,combined,-4.593537329512623,-25.402873685805577,74.59712631419443,38.9846
27,233,18.66673686646802,24.12590910120914,13.48920947436321,0.5591171473694709,combined,-5.17752739210481,-27.736649576956633,72.26335042304336,38.6142
24,237,18.37194720609589,24.208220091738806,13.48920947436321,0.5572160788048387,combined,-4.8827377317326786,-26.577137833884944,73.42286216611505,38.6142
29,243,19.03614661638192,24.07418695475734,13.48920947436321,0.5603183816638753,combined,-5.5469371420187095,-29.138970474440384,70.86102952555962,38.3364
26,247,18.66673686646802,24.17605347219468,13.48920947436321,0.5579574635652339,combined,-5.17752739210481,-27.736649576956633,72.26335042304336,38.6142
31,253,19.47940418739101,24.07287143429294,13.48920947436321,0.5603490016212689,combined,-5.990194713027801,-30.751426765430768,69.24857323456924,38.3364
28,257,19.03614661638192,24.174728179073416,13.48920947436321,0.5579880515901724,combined,-5.5469371420187095,-29.138970474440384,70.86102952555962,38.3364
33,263,19.78010086481037,24.00083879150781,13.489209474363209,0.5620307519892214,combined,-6.290891390447163,-31.804142119613367,68.19585788038663,37.96600000000001
30,267,19.47940418739101,24.030684164571525,13.48920947436321,0.561332727024492,combined,-5.990194713027801,-30.751426765430768,69.24857323456924,38.3364
34,273,19.81208905910582,23.82977585103205,13.48920947436321,0.5660653108400515,combined,-6.3228795847426085,-31.914249758717666,68.08575024128234,37.7808
32,277,19.78010086481037,23.685739351227294,13.489209474363212,0.5695076380912829,combined,-6.290891390447159,-31.80414211961335,68.19585788038665,37.96600000000001
37,283,19.19371014468592,23.500554461766466,13.48920947436321,0.5739953708883372,combined,-5.704500670322709,-29.720677385044752,70.27932261495525,37.7808
35,287,19.81208905910582,23.253621490177494,13.489209474363212,0.5800906959830389,combined,-6.322879584742607,-31.91424975871766,68.08575024128234,37.7808
38,292,18.49646838656416,23.273177017085068,13.48920947436321,0.5796032687956891,combined,-5.00725891220095,-27.071432273191263,72.92856772680874,37.68820000000001
36,297,19.19371014468592,23.03241070312887,13.489209474363212,0.5856620762902057,combined,-5.704500670322707,-29.72067738504475,70.27932261495525,37.7808
41,302,17.660143545940393,23.139977212216156,13.48920947436321,0.5829396179025591,combined,-4.170934071577182,-23.617781252610325,76.38221874738967,37.1326
39,307,18.49646838656416,23.01238848349702,13.489209474363209,0.5861716389864002,combined,-5.007258912200951,-27.071432273191277,72.92856772680872,37.68820000000001
42,313,17.131894381472808,23.21338807188971,13.48920947436321,0.5810961085296287,combined,-3.6426849071095972,-21.26259260066977,78.73740739933024,36.114000000000004
40,317,17.660143545940393,23.217288043100393,13.48920947436321,0.5809984977281561,combined,-4.170934071577182,-23.617781252610325,76.38221874738967,37.1326
43,323,16.464966590972907,23.393865603497574,13.48920947436321,0.5766131046057845,combined,-2.975757116609696,-18.073265440096225,81.92673455990378,35.2806
46,329,16.020784322571078,23.31031029602014,13.48920947436321,0.5786799619165205,combined,-2.5315748482078675,-15.801815923838555,84.19818407616144,34.8176
44,337,16.464966590972907,22.903899780279747,13.48920947436321,0.588948153099125,combined,-2.975757116609696,-18.073265440096225,81.92673455990378,35.2806
48,343,15.545099188587704,23.03514993442788,13.48920947436321,0.5855924321205526,combined,-2.0558897142244934,-13.225323873995004,86.77467612600499,34.5398
45,347,16.020784322571078,23.012876712479258,13.48920947436321,0.5861592030799165,combined,-2.5315748482078675,-15.801815923838555,84.19818407616144,34.8176
47,355,15.545099188587704,23.32602179756707,13.48920947436321,0.5782901855887895,combined,-2.0558897142244934,-13.225323873995004,86.77467612600499,34.5398
48,365,15.545099188587704,23.616243181177257,13.48920947436321,0.5711835439226189,combined,-2.0558897142244934,-13.225323873995004,86.77467612600499,34.5398
49,703,15.3762513675277,25.044218275481192,13.489209474363212,0.5386157126560994,combined,-1.8870418931644881,-12.272444356298916,87.72755564370108,34.169399999999996
46,707,16.020784322571078,25.03294916039283,13.48920947436321,0.5388581819878362,combined,-2.5315748482078675,-15.801815923838555,84.19818407616144,34.8176
47,713,15.545099188587704,24.80273628273408,13.489209474363209,0.5438597306601791,combined,-2.055889714224495,-13.225323873995015,86.77467612600499,34.5398
43,717,16.464966590972907,24.825273498877152,13.489209474363209,0.5433659965507863,combined,-2.9757571166096977,-18.073265440096236,81.92673455990376,35.2806
45,723,16.020784322571078,24.65851661572929,13.48920947436321,0.5470405898527834,combined,-2.5315748482078675,-15.801815923838555,84.19818407616144,34.8176
42,727,17.131894381472808,24.739806030096563,13.48920947436321,0.5452431380405031,combined,-3.6426849071095972,-21.26259260066977,78.73740739933024,36.114000000000004
44,733,16.464966590972907,24.640394272852998,13.48920947436321,0.5474429233961019,combined,-2.975757116609696,-18.073265440096225,81.92673455990378,35.2806
41,737,17.660143545940393,24.70082799354712,13.48920947436321,0.5461035345813975,combined,-4.170934071577182,-23.617781252610325,76.38221874738967,37.1326
