waypoint,step,actual_distance_m,simulated_distance_m,calibrated_distance_m,calibration_factor,error_m,error_pct,accuracy_pct,avg_velocity_kmh,src_speed_kmh,dst_speed_kmh
0,10,23.06607609797377,34.929596608427275,24.45071762589909,0.7,1.3846415279253215,6.002934881702548,93.99706511829746,38.799400000000006,37.7808,39.818000000000005
1,20,23.06607609797377,39.45709206887723,27.61996444821406,0.7,4.553888350240289,19.742796004389856,80.25720399561014,38.799400000000006,39.818000000000005,37.7808
2,30,22.375356066218483,46.37797899287165,31.073245925224004,0.67,8.697889859005521,38.8726321639962,61.1273678360038,39.4476,40.744,38.1512
3,40,22.375356066218483,29.6580118582653,19.87086794503775,0.67,-2.5044881211807315,11.19306487802408,88.80693512197593,39.4476,38.1512,40.744
4,50,21.369210755975924,34.000647740913855,21.76041455418487,0.64,0.39120379820894513,1.830689035155613,98.16931096484439,40.1884,41.67,38.7068
5,60,21.369210755975924,148.34071908193562,94.9380602124388,0.64,73.56884945646287,344.27499591153247,0.0,40.1884,38.7068,41.67
6,70,20.52890803927758,257.9311850678608,165.0759584434309,0.64,144.5470504041533,704.1146568906349,0.0,40.929199999999994,42.596,39.2624
7,80,20.52890803927758,375.07671252319443,240.04909601484445,0.64,219.52018797556687,1069.3222822936464,0.0,40.929199999999994,39.2624,42.596
