timestamp,timestamp_iso,lat,lon,datarate,jitter,ip_local,port_local,ip_remote,port_remote,measurement
2021-06-22 09:50:40.359189+02:00,,,,72500000.0,0.000187,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:41.359255+02:00,,,,59300000.0,0.000118,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:42.359225+02:00,,,,78200000.0,0.000218,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:43.359338+02:00,,,,97800000.0,0.0001,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:44.359290+02:00,,,,78200000.0,0.0008179999999999999,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:45.359160+02:00,,,,72100000.0,0.000439,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:46.359264+02:00,,,,81400000.0,9.5e-05,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:47.359254+02:00,,,,87600000.0,0.00017199999999999998,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:48.359185+02:00,,,,86500000.0,0.000179,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:49.359236+02:00,,,,85300000.0,8.9e-05,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:50.359266+02:00,,,,69900000.0,0.000151,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:51.359230+02:00,,,,61800000.0,0.000228,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:52.359214+02:00,,,,64500000.0,0.000128,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:53.359336+02:00,,,,57300000.0,0.000264,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:54.359284+02:00,,,,56300000.0,6.3e-05,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:55.359487+02:00,,,,61600000.0,0.00027400000000000005,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:56.359174+02:00,,,,52300000.0,0.000266,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:57.359404+02:00,,,,47200000.0,0.00037,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:58.359218+02:00,,,,64700000.0,0.000277,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:50:59.359276+02:00,,,,64500000.0,0.000363,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:00.359569+02:00,,,,57700000.0,0.000439,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:01.359211+02:00,,,,66599999.99999999,0.0001,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:02.359517+02:00,,,,56500000.0,0.000118,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:03.359235+02:00,,,,75100000.0,0.000214,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:04.359346+02:00,,,,81300000.0,0.000104,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:05.359240+02:00,,,,67300000.0,0.00023300000000000003,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:06.359198+02:00,,,,85400000.0,0.00015900000000000002,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:07.359256+02:00,,,,66099999.99999999,0.000337,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:08.359250+02:00,,,,83300000.0,0.00014099999999999998,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:09.359331+02:00,,,,86300000.0,0.00011,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:10.359205+02:00,,,,72600000.0,0.00016900000000000002,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:11.359271+02:00,,,,74600000.0,8.599999999999999e-05,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:12.359169+02:00,,,,86800000.0,0.00011600000000000001,10.175.117.136,47474,193.174.67.58,5204,0
