waypoint,actual_distance,simulated_distance,calibrated_distance,error,error_percentage,accuracy,source_speed_kmh,dest_speed_kmh
0,23.06607609797377,23.795149684349123,14.443655858399918,-8.622420239573852,-37.38139162877073,62.61860837122927,37.7808,39.818000000000005
1,23.06607609797377,2.6241329760372065,1.5928487164545844,-21.473227381519187,-93.09440968767763,6.905590312322374,39.818000000000005,37.7808
2,22.375356066218483,2.6241329760372065,1.5928487164545844,-20.7825073497639,-92.88123633992396,7.118763660076041,40.744,38.1512
3,22.375356066218483,2.6241329760372065,1.5928487164545844,-20.7825073497639,-92.88123633992396,7.118763660076041,38.1512,40.744
4,21.369210755975924,2.6241329760372065,1.5928487164545844,-19.77636203952134,-92.54605734089108,7.453942659108918,41.67,38.7068
5,21.369210755975924,2.6241329760372065,1.5928487164545844,-19.77636203952134,-92.54605734089108,7.453942659108918,38.7068,41.67
6,20.52890803927758,2.6241329760372065,1.5928487164545844,-18.936059322823,-92.24094767531223,7.759052324687772,42.596,39.2624
7,20.52890803927758,2.6241329760372065,1.5928487164545844,-18.936059322823,-92.24094767531223,7.759052324687772,39.2624,42.596
8,19.74966462565046,2.6241329760372065,1.5928487164545844,-18.156815909195878,-91.93480625293341,8.065193747066587,42.596,39.818000000000005
9,19.74966462565046,2.6241329760372065,1.5928487164545844,-18.156815909195878,-91.93480625293341,8.065193747066587,39.818000000000005,42.596
10,18.971223088084347,2.6241329760372065,1.5928487164545844,-17.378374371629764,-91.60386913875344,8.396130861246561,42.2256,39.818000000000005
11,18.971223088084347,2.6241329760372065,1.5928487164545844,-17.378374371629764,-91.60386913875344,8.396130861246561,39.818000000000005,42.2256
12,18.304705222315,2.6241329760372065,1.5928487164545844,-16.711856505860418,-91.29814603890608,8.701853961093917,39.818000000000005,41.4848
13,18.304705222315,2.6241329760372065,1.5928487164545844,-16.711856505860418,-91.29814603890608,8.701853961093917,41.4848,39.818000000000005
14,18.00501005259536,2.6241329760372065,1.5928487164545844,-16.412161336140777,-91.15330282070585,8.846697179294154,40.3736,39.4476
15,18.00501005259536,2.6241329760372065,1.5928487164545844,-16.412161336140777,-91.15330282070585,8.846697179294154,39.4476,40.3736
16,17.638939080054833,2.6241329760372065,1.5928487164545844,-16.04609036360025,-90.96970226369402,9.030297736305982,40.00320000000001,39.4476
17,17.638939080054833,2.6241329760372065,1.5928487164545844,-16.04609036360025,-90.96970226369402,9.030297736305982,39.4476,40.00320000000001
18,17.749859877562898,2.6241329760372065,1.5928487164545844,-16.157011161108315,-91.02613357264832,8.97386642735168,39.2624,39.4476
19,17.749859877562898,2.6241329760372065,1.5928487164545844,-16.157011161108315,-91.02613357264832,8.97386642735168,39.4476,39.2624
20,17.74987130667995,2.6241329760372065,1.5928487164545844,-16.157022590225367,-91.02613935090822,8.973860649091776,39.2624,38.7068
21,17.74987130667995,2.6241329760372065,1.5928487164545844,-16.157022590225367,-91.02613935090822,8.973860649091776,38.7068,39.2624
22,18.082746803875832,2.6241329760372065,1.5928487164545844,-16.48989808742125,-91.19133429378564,8.808665706214356,38.52160000000001,39.4476
23,18.082746803875832,2.6241329760372065,1.5928487164545844,-16.48989808742125,-91.19133429378564,8.808665706214356,39.4476,38.52160000000001
24,18.37194720609589,2.6241329760372065,1.5928487164545844,-16.779098489641306,-91.32999513559417,8.670004864405826,37.966,39.2624
25,18.37194720609589,2.6241329760372065,1.5928487164545844,-16.779098489641306,-91.32999513559417,8.670004864405826,39.2624,37.966
26,18.66673686646802,2.6241329760372065,1.5928487164545844,-17.07388815001344,-91.4669139665439,8.533086033456101,37.966,39.2624
27,18.66673686646802,2.6241329760372065,1.5928487164545844,-17.07388815001344,-91.4669139665439,8.533086033456101,39.2624,37.966
28,19.03614661638192,2.6241329760372065,1.5928487164545844,-17.443297899927337,-91.63250447396834,8.36749552603166,37.4104,39.2624
29,19.03614661638192,2.6241329760372065,1.5928487164545844,-17.443297899927337,-91.63250447396834,8.36749552603166,39.2624,37.4104
