waypoint,step,actual_distance_m,simulated_distance_m,calibrated_distance_m,calibration_factor,calibration_meta,distance_error_m,distance_error_pct,distance_accuracy_pct,avg_velocity_kmh
3,105,22.375356066218483,21.87026536046615,13.275251073802952,0.607,velocity_39.4kmh,-9.100104992415531,-40.67021309285239,59.32978690714761,39.4476
1,114,23.06607609797377,21.236544777159374,12.89058267973574,0.607,velocity_38.8kmh,-10.17549341823803,-44.114540223561875,55.885459776438125,38.799400000000006
2,125,22.375356066218483,21.673875148828007,13.1560422153386,0.607,velocity_39.4kmh,-9.219313850879884,-41.20298163567048,58.79701836432952,39.4476
7,133,20.52890803927758,22.22275036962638,13.48920947436321,0.607,velocity_40.9kmh,-7.039698564914371,-34.29163670783388,65.70836329216613,40.929199999999994
4,136,21.369210755975924,22.27745127662088,13.522412924908874,0.607,velocity_40.2kmh,-7.84679783106705,-36.72011063334515,63.27988936665485,40.1884
9,142,19.74966462565046,22.57313934295453,13.7018955811734,0.607,velocity_41.2kmh,-6.047769044477061,-30.6221354089342,69.3778645910658,41.207
6,146,20.52890803927758,22.60676026632258,13.722303481657807,0.607,velocity_40.9kmh,-6.8066045576197745,-33.156193912490735,66.84380608750926,40.929199999999994
11,152,18.971223088084347,22.876724461553653,13.886171748163067,0.607,velocity_41.0kmh,-5.0850513399212804,-26.80402479223996,73.19597520776004,41.0218
8,156,19.74966462565046,22.891790215024756,13.895316660520026,0.607,velocity_41.2kmh,-5.854347965130435,-29.64277154117811,70.3572284588219,41.207
12,163,18.304705222315,23.18968326964919,14.076137744677059,0.607,velocity_40.7kmh,-4.228567477637942,-23.10098647468497,76.89901352531503,40.6514
10,166,18.971223088084347,23.22671435838036,14.098615615536877,0.607,velocity_41.0kmh,-4.87260747254747,-25.68420312134704,74.31579687865296,41.0218
15,173,18.00501005259536,23.524049817081686,14.279098238968583,0.607,velocity_39.9kmh,-3.7259118136267766,-20.69375025475034,79.30624974524966,39.9106
13,176,18.304705222315,23.571127258228252,14.307674245744549,0.607,velocity_40.7kmh,-3.9970309765704517,-21.8360849192902,78.1639150807098,40.6514
17,183,17.638939080054833,23.78734603529355,14.438919043423184,0.607,velocity_39.7kmh,-3.200020036631649,-18.141794254792003,81.858205745208,39.72540000000001
14,187,18.00501005259536,23.79877170024783,14.445854422050433,0.607,velocity_39.9kmh,-3.559155630544927,-19.76758480083096,80.23241519916904,39.9106
19,193,17.749859877562898,23.913246188413325,14.515340436366888,0.607,velocity_39.4kmh,-3.23451944119601,-18.22278859386758,81.77721140613242,39.355000000000004
16,197,17.638939080054833,23.954995628088163,14.540682346249515,0.607,velocity_39.7kmh,-3.098256733805318,-17.564870085121278,82.43512991487873,39.72540000000001
20,203,17.74987130667995,24.038293140187854,14.591243936094028,0.607,velocity_39.0kmh,-3.158627370585922,-17.795212799076527,82.20478720092348,38.9846
18,207,17.749859877562898,24.10041381076983,14.628951183137286,0.607,velocity_39.4kmh,-3.120908694425612,-17.582722995862436,82.41727700413756,39.355000000000004
23,213,18.082746803875832,24.090175820223248,14.62273672287551,0.607,velocity_39.0kmh,-3.4600100810003216,-19.134316918371645,80.86568308162836,38.9846
21,217,17.74987130667995,24.162197936936845,14.666454147720664,0.607,velocity_39.0kmh,-3.0834171589592856,-17.37149022482703,82.62850977517297,38.9846
25,223,18.37194720609589,24.11075356785572,14.635227415688423,0.607,velocity_38.6kmh,-3.7367197904074665,-20.339269150346826,79.66073084965318,38.6142
22,227,18.082746803875832,24.203353432201677,14.691435533346418,0.607,velocity_39.0kmh,-3.391311270529414,-18.754403339887084,81.24559666011291,38.9846
27,233,18.66673686646802,24.12590910120914,14.644426824433946,0.607,velocity_38.6kmh,-4.022310042034075,-21.548008475222836,78.45199152477716,38.6142
24,237,18.37194720609589,24.208220091738806,14.694389595685454,0.607,velocity_38.6kmh,-3.6775576104104353,-20.01724460208663,79.98275539791337,38.6142
29,243,19.03614661638192,24.07418695475734,14.613031481537705,0.607,velocity_38.3kmh,-4.423115134844215,-23.235349170077406,76.7646508299226,38.3364
26,247,18.66673686646802,24.17605347219468,14.67486445762217,0.607,velocity_38.6kmh,-3.9918724088458504,-21.384950339213532,78.61504966078647,38.6142
31,253,19.47940418739101,24.07287143429294,14.612232960615813,0.607,velocity_38.3kmh,-4.8671712267751985,-24.986242802671093,75.01375719732891,38.3364
28,257,19.03614661638192,24.174728179073416,14.674060004697562,0.607,velocity_38.3kmh,-4.362086611684358,-22.914756329573972,77.08524367042602,38.3364
33,263,19.78010086481037,24.00083879150781,13.848483982700005,0.577,velocity_38.0kmh,-5.931616882110367,-29.987798963467178,70.01220103653282,37.96600000000001
30,267,19.47940418739101,24.030684164571525,14.586625287894915,0.607,velocity_38.3kmh,-4.892778899496097,-25.117703048962785,74.88229695103722,38.3364
