step,source,dest,distance,src_pos,dst_pos,snr,rsrp,link_quality,row_index
5,src_1_0,dst_2_0,24.301241673194983,"(18893.777994024273, 9332.74185393542)","(18907.509198516404, 9312.691807300704)",2.018256,-83.91853333333334,0.7200000000000001,0
15,src_1_0,dst_2_0,25.207741243458084,"(18854.095884514147, 9398.198952505041)","(18865.58432453539, 9375.761350929217)",2.018256,-83.91853333333334,0.7200000000000001,0
20,src_1_0,dst_2_0,31.40411550795683,"(18828.536686306426, 9431.83911836638)","(18847.560521371994, 9406.85287874864)",2.018256,-83.91853333333334,0.7200000000000001,0
30,src_1_0,dst_2_0,25.531946386379882,"(18784.704844341763, 9480.378806145864)","(18800.20218090773, 9460.088097788635)",2.018256,-83.91853333333334,0.7200000000000001,0
45,src_1_0,dst_2_0,35.07614396371482,"(18701.319478450096, 9590.520037425995)","(18726.98763981839, 9566.614360959215)",2.018256,-83.91853333333334,0.7200000000000001,0
55,src_1_0,dst_2_0,53.7257079344894,"(18621.879110958787, 9694.62695591181)","(18654.42345799673, 9651.879825377282)",2.018256,-83.91853333333334,0.7200000000000001,0
60,src_1_0,dst_2_0,62.2936224433009,"(18579.51351446494, 9750.316716522148)","(18617.227374912036, 9700.736880628052)",2.018256,-83.91853333333334,0.7200000000000001,0
65,src_1_0,dst_2_0,72.01108315485753,"(18537.113938195627, 9807.49301239084)","(18580.014946366762, 9749.656176420707)",2.018256,-83.91853333333334,0.7200000000000001,0
75,src_1_0,dst_2_0,89.02113919420529,"(18450.32168419053, 9919.389667656524)","(18503.87292001984, 9848.27688143219)",2.018256,-83.91853333333334,0.7200000000000001,0
85,src_1_0,dst_2_0,106.56821473122334,"(18365.519385517207, 10031.806561101106)","(18429.746657044278, 9946.76749958707)",2.018256,-83.91853333333334,0.5760000000000002,0
90,src_1_0,dst_2_0,115.53037103170897,"(18323.41245459978, 10087.926372975591)","(18392.8285969848, 9995.575597087638)",2.018256,-83.91853333333334,0.5760000000000002,0
95,src_1_0,dst_2_0,123.62412151553428,"(18281.044719630318, 10144.463622457451)","(18355.276338195814, 10045.607210294991)",2.018256,-83.91853333333334,0.5760000000000002,0
120,src_1_0,dst_2_0,105.75894129751237,"(18116.748768984875, 10369.911632610034)","(18176.12399244949, 10282.39285460841)",2.018256,-83.91853333333334,0.5760000000000002,0
125,src_1_0,dst_2_0,137.58342597024784,"(18072.889682949226, 10418.244512873565)","(18162.512027642955, 10313.855651239246)",2.018256,-83.91853333333334,0.5760000000000002,0
140,src_1_0,dst_2_0,282.487524807016,"(17932.24863489517, 10575.025973094342)","(18122.098820653726, 10365.846364530225)",2.018256,-83.91853333333334,0.5760000000000002,0
145,src_1_0,dst_2_0,349.22312821530824,"(17884.99493755081, 10625.080742932905)","(18120.44573478879, 10367.166580156827)",2.018256,-83.91853333333334,0.432,0
150,src_1_0,dst_2_0,380.2650434854213,"(17834.751084760293, 10672.788373296718)","(18092.836364279923, 10393.51522422534)",2.018256,-83.91853333333334,0.432,0
155,src_1_0,dst_2_0,381.15635730728775,"(17791.029115455036, 10719.308580374776)","(18053.202020319914, 10442.63993981269)",2.018256,-83.91853333333334,0.432,0
165,src_1_0,dst_2_0,262.94801077267095,"(17787.756191821816, 10722.881772231229)","(17975.64250722341, 10538.924198714622)",2.018256,-83.91853333333334,0.5760000000000002,0
170,src_1_0,dst_2_0,207.01526465123476,"(17786.257388344682, 10724.803474315435)","(17932.991011043072, 10578.774149286428)",2.018256,-83.91853333333334,0.5760000000000002,0
